Emotions,Path
neutral,data/SAVEE/ALL/DC_n30.wav
neutral,data/SAVEE/ALL/KL_n24.wav
neutral,data/SAVEE/ALL/JK_n01.wav
sad,data/SAVEE/ALL/KL_sa03.wav
neutral,data/SAVEE/ALL/KL_n08.wav
angry,data/SAVEE/ALL/KL_a12.wav
fear,data/SAVEE/ALL/JK_f13.wav
neutral,data/SAVEE/ALL/JK_n24.wav
happy,data/SAVEE/ALL/JE_h13.wav
fear,data/SAVEE/ALL/KL_f01.wav
surprise,data/SAVEE/ALL/DC_su07.wav
neutral,data/SAVEE/ALL/DC_n23.wav
happy,data/SAVEE/ALL/JK_h02.wav
sad,data/SAVEE/ALL/JK_sa01.wav
disgust,data/SAVEE/ALL/KL_d03.wav
neutral,data/SAVEE/ALL/JE_n30.wav
neutral,data/SAVEE/ALL/DC_n24.wav
disgust,data/SAVEE/ALL/JK_d09.wav
surprise,data/SAVEE/ALL/DC_su14.wav
neutral,data/SAVEE/ALL/DC_n07.wav
neutral,data/SAVEE/ALL/KL_n26.wav
fear,data/SAVEE/ALL/KL_f08.wav
happy,data/SAVEE/ALL/JE_h06.wav
sad,data/SAVEE/ALL/JK_sa06.wav
happy,data/SAVEE/ALL/DC_h04.wav
surprise,data/SAVEE/ALL/JE_su03.wav
neutral,data/SAVEE/ALL/JE_n17.wav
fear,data/SAVEE/ALL/DC_f12.wav
neutral,data/SAVEE/ALL/KL_n18.wav
disgust,data/SAVEE/ALL/JK_d06.wav
happy,data/SAVEE/ALL/KL_h07.wav
happy,data/SAVEE/ALL/DC_h03.wav
fear,data/SAVEE/ALL/JE_f07.wav
neutral,data/SAVEE/ALL/JK_n04.wav
angry,data/SAVEE/ALL/KL_a09.wav
sad,data/SAVEE/ALL/DC_sa09.wav
neutral,data/SAVEE/ALL/JE_n08.wav
sad,data/SAVEE/ALL/JK_sa11.wav
angry,data/SAVEE/ALL/KL_a13.wav
surprise,data/SAVEE/ALL/KL_su05.wav
angry,data/SAVEE/ALL/DC_a07.wav
sad,data/SAVEE/ALL/DC_sa10.wav
surprise,data/SAVEE/ALL/KL_su08.wav
disgust,data/SAVEE/ALL/JK_d15.wav
happy,data/SAVEE/ALL/JE_h09.wav
neutral,data/SAVEE/ALL/DC_n14.wav
surprise,data/SAVEE/ALL/DC_su06.wav
happy,data/SAVEE/ALL/DC_h11.wav
disgust,data/SAVEE/ALL/JE_d09.wav
angry,data/SAVEE/ALL/JK_a09.wav
neutral,data/SAVEE/ALL/JE_n06.wav
angry,data/SAVEE/ALL/DC_a09.wav
angry,data/SAVEE/ALL/DC_a02.wav
disgust,data/SAVEE/ALL/JE_d06.wav
neutral,data/SAVEE/ALL/JE_n19.wav
neutral,data/SAVEE/ALL/DC_n08.wav
fear,data/SAVEE/ALL/JE_f05.wav
neutral,data/SAVEE/ALL/JE_n25.wav
surprise,data/SAVEE/ALL/DC_su04.wav
fear,data/SAVEE/ALL/JK_f07.wav
happy,data/SAVEE/ALL/JK_h08.wav
disgust,data/SAVEE/ALL/JK_d11.wav
fear,data/SAVEE/ALL/JE_f09.wav
happy,data/SAVEE/ALL/KL_h08.wav
sad,data/SAVEE/ALL/JK_sa14.wav
disgust,data/SAVEE/ALL/DC_d04.wav
angry,data/SAVEE/ALL/DC_a11.wav
angry,data/SAVEE/ALL/JE_a02.wav
neutral,data/SAVEE/ALL/JE_n26.wav
angry,data/SAVEE/ALL/KL_a01.wav
angry,data/SAVEE/ALL/JE_a10.wav
neutral,data/SAVEE/ALL/DC_n21.wav
neutral,data/SAVEE/ALL/KL_n05.wav
sad,data/SAVEE/ALL/JK_sa15.wav
neutral,data/SAVEE/ALL/JK_n05.wav
disgust,data/SAVEE/ALL/JE_d12.wav
disgust,data/SAVEE/ALL/JK_d05.wav
surprise,data/SAVEE/ALL/JK_su06.wav
happy,data/SAVEE/ALL/JE_h07.wav
surprise,data/SAVEE/ALL/KL_su13.wav
sad,data/SAVEE/ALL/KL_sa02.wav
fear,data/SAVEE/ALL/JK_f08.wav
disgust,data/SAVEE/ALL/KL_d14.wav
sad,data/SAVEE/ALL/DC_sa15.wav
neutral,data/SAVEE/ALL/KL_n15.wav
sad,data/SAVEE/ALL/JK_sa10.wav
neutral,data/SAVEE/ALL/JK_n02.wav
angry,data/SAVEE/ALL/JE_a14.wav
angry,data/SAVEE/ALL/KL_a11.wav
happy,data/SAVEE/ALL/JK_h03.wav
disgust,data/SAVEE/ALL/DC_d10.wav
sad,data/SAVEE/ALL/JK_sa02.wav
disgust,data/SAVEE/ALL/KL_d15.wav
happy,data/SAVEE/ALL/JE_h03.wav
disgust,data/SAVEE/ALL/JK_d02.wav
neutral,data/SAVEE/ALL/DC_n04.wav
happy,data/SAVEE/ALL/DC_h10.wav
happy,data/SAVEE/ALL/KL_h11.wav
angry,data/SAVEE/ALL/JE_a01.wav
